-21.2,66.9,12.1
1.4,65.1,11.3
24.3,66.3,12.5
-41.7,52.8,11.3
-32.7,48.4,32.8
1.8,54.8,37.9
35.1,50.1,31.1
43.9,52.7,9.3
-52.1,28.6,3.8
-51.4,26.7,24.7
-39.7,25.3,44.7
-22.1,26.8,54.9
0,26.8,60.6
23.6,28.2,55.6
41.9,27.5,43.9
52.9,28.7,25.2
53.2,28.4,3.1
-53.8,-2.1,-29.1
-59.2,3.4,-2.1
-59.1,3,26.1
-45.5,2.4,51.3
-24.7,0.3,66.4
1,1,72.8
26.1,3.2,66
47.5,4.6,49.7
60.5,4.9,25.5
60.2,4.7,-2.8
55,-3.6,-31
-65.8,-17.8,-2.9
-63.6,-18.9,25.8
-49.1,-20.7,53.2
-25.1,-22.5,70.1
0.8,-21.9,77.4
26.7,-20.9,69.5
50.3,-18.8,53
65.2,-18,26.4
67.4,-18.5,-3.4
-63.6,-44.7,-4
-61.8,-46.2,22.5
-46.9,-47.7,49.7
-24,-49.1,66.1
0.7,-47.9,72.6
25.8,-47.1,66
49.5,-45.5,50.7
62.9,-44.6,24.4
64.6,-45.4,-3.7
-50.8,-51.3,-37.7
-55.9,-64.8,0
-52.7,-67.1,19.9
-41.4,-67.8,42.4
-21.6,-71.3,52.6
0.7,-69.3,56.9
24.4,-69.9,53.5
44.2,-65.8,42.7
54.4,-65.3,20.2
56.4,-64.4,0.1
51,-53.9,-36.5
-44,-81.7,1.6
-33.3,-84.3,26.5
0,-87.9,33.5
35.2,-82.6,26.1
43.3,-82,0.7
-25.8,-93.3,7.7
0.3,-97.1,8.7
25,-95.2,6.2
